N_slides,Title/centretitle/subtitle,Body/Textbox/Placeholder,N_picture/slide,N_chart/slide,N_table/slide,N_hyperlink,Footer,Date,Slideno,Bold,Underline,Italic,secondlevel_bullet,N_bullets/slide,N_fonttypes,N_fontsize,N_fontcolor,output_grade
1,0,1,3.8,0,0,1,0,0,0,2,2,0,0,1.4,1,1,2,4
1,2,1,3.769230769,0,0,1,0,0,0,2,0,2,0,1.2,3,3,1,3
1,2,1,0,0,0,3,0,2,2,2,0,2,0,1.588235294,4,1,1,3
1,2,1,3.857142857,0,0,1,0,2,2,0,2,2,0,1.333333333,3,1,4,2
3,2,1,3.409090909,0,4,1,0,2,2,2,0,2,0,1.590909091,3,1,3,1
1,2,1,4,0,0,1,0,2,2,2,0,0,0,2.533333333,3,1,2,2
1,0,1,0,0,0,1,0,2,2,0,0,2,0,1.125,4,2,1,4
1,0,0,3.375,0,0,1,0,0,0,2,2,0,0,1.941176471,4,1,1,4
1,2,1,3.7,0,0,1,0,0,0,2,0,0,0,2,4,3,1,3
1,2,1,4,0,0,1,0,0,0,2,0,2,0,2.473684211,3,1,3,3
1,2,1,3.6,0,0,1,0,0,0,2,0,0,0,1.1875,1,1,1,4
3,2,1,3.705882353,0,0,1,2,2,2,2,2,2,0,1.75,1,1,3,1
1,2,1,3.571428571,0,0,1,0,2,2,2,2,0,2,1.125,1,1,3,2
1,2,1,0,0,0,1,0,0,0,2,0,0,2,2.5,3,2,1,4
3,2,1,3.5,0,0,1,0,2,2,2,0,0,2,2.380952381,4,2,2,1
1,2,1,4,0,0,1,0,0,2,2,2,2,0,1.4,1,1,4,2
1,2,1,3.833333333,0,0,3,0,0,2,2,0,2,0,1.882352941,1,1,1,2
1,2,1,4,0,4,1,2,2,2,2,0,2,0,1.764705882,3,1,4,1
1,2,1,4,0,4,1,0,2,2,2,2,2,0,1.266666667,1,1,2,1
1,2,1,3.533333333,0,0,1,0,2,2,2,0,0,0,1.470588235,3,1,3,3
1,2,1,4,0,0,1,0,2,2,2,2,0,0,1.9375,4,1,1,2
1,2,1,0,0,0,1,0,0,0,2,0,0,0,2.583333333,1,1,3,4
1,2,1,3.75,0,4,1,0,0,2,2,0,0,2,1.444444444,4,1,1,3
1,0,1,4,0,0,1,0,0,0,0,2,0,0,1.7,1,1,3,4
1,2,1,4,0,0,1,0,0,0,2,0,0,0,2.4375,4,1,1,3
1,2,1,3.75,0,0,1,0,2,2,0,2,2,0,1.944444444,3,1,1,3
1,2,1,3.5,0,3,1,0,2,2,2,0,0,0,1.5,3,1,2,2
1,2,1,3.666666667,0,0,1,0,0,0,2,2,0,0,2.066666667,1,1,3,3
1,0,1,3.733333333,0,0,1,0,2,2,2,2,2,0,2.2,3,1,4,2
1,2,1,4,0,0,1,0,2,2,2,2,2,2,2.294117647,1,1,1,2
1,2,1,4,0,0,4,0,2,2,2,2,2,2,2.071428571,4,1,1,1
1,0,1,3.714285714,0,0,1,0,2,2,0,2,0,2,2.230769231,1,1,1,3
1,2,1,4,0,0,1,0,2,2,2,0,2,0,1.941176471,1,1,1,2
3,0,1,4,0,3.571428571,1,0,0,0,2,2,2,2,1.363636364,3,1,4,1
1,2,1,4,0,0,1,0,2,2,2,2,2,0,2.916666667,1,1,1,2
1,2,1,3.857142857,0,4,1,0,2,2,2,2,0,0,2.263157895,3,1,4,1
1,2,1,4,0,0,1,0,0,0,2,2,0,0,1.909090909,4,1,3,3
1,2,1,4,0,0,1,0,2,2,2,0,2,0,3,4,2,3,1
3,2,1,3.470588235,0,0,1,2,0,2,2,2,2,0,1.55,1,1,1,2
1,2,1,4,0,0,3,0,2,2,2,2,2,0,2.307692308,3,4,2,1
3,2,1,3.571428571,0,0,1,0,2,2,2,2,0,0,1.409090909,3,1,2,2
1,2,1,3.833333333,0,0,4,0,2,2,2,2,2,2,2.142857143,1,1,1,1
1,2,1,3.363636364,0,0,1,0,2,2,2,2,2,0,1.388888889,4,1,1,2
3,2,1,4,0,0,1,0,2,2,2,0,2,0,2.434782609,4,1,3,1
1,2,1,4,0,0,3,0,2,2,0,0,2,0,1.923076923,3,1,1,2
1,2,1,4,0,2,1,0,2,2,2,2,2,0,2.666666667,4,1,1,1
1,2,1,3.6,0,0,1,0,0,0,2,2,0,0,2.142857143,1,1,1,4
1,2,1,3.428571429,0,0,3,0,0,2,2,2,2,0,2.384615385,1,1,1,2
4,2,1,3.5,0,0,3,0,2,2,2,2,0,2,2.307692308,3,1,3,1
1,2,1,3.5,0,0,1,0,0,0,2,2,2,0,1.25,3,1,2,3
1,2,1,3.2,0,4,3,0,2,2,2,2,2,0,2.235294118,1,1,1,1
1,2,1,0,0,0,1,0,0,2,2,0,0,0,1.933333333,3,1,2,4
1,0,1,2.769230769,0,0,1,0,0,0,0,0,0,2,1.615384615,1,1,4,4
1,2,1,4,0,0,1,0,0,0,0,0,0,0,1.133333333,3,1,1,4
1,2,1,0,0,0,1,0,0,0,2,0,2,0,2.6,1,1,3,4
1,2,1,0,0,0,1,0,0,0,0,0,0,0,2.142857143,1,1,1,4
1,0,1,3.8,0,0,1,0,0,0,2,2,0,0,1.4,1,1,2,4
1,0,1,0,0,0,1,0,2,2,0,0,2,0,1.125,4,2,1,4
1,2,1,3.6,0,0,1,0,0,0,2,0,0,0,1.1875,1,1,1,4
1,2,1,0,0,0,1,0,0,0,2,0,0,2,2.5,3,2,1,4
1,2,1,0,0,0,1,0,0,0,2,0,0,0,2.583333333,1,1,3,4
3,2,1,4,0,0,1,0,0,0,2,0,0,0,2.095238095,3,1,3,3
1,2,1,4,0,0,1,0,0,2,2,0,0,2,1.666666667,3,1,1,3
1,2,1,3.714285714,0,0,1,0,2,2,2,0,2,2,2.1875,3,1,1,2
1,2,1,4,0,0,1,0,0,0,2,0,2,0,2,4,1,1,3
1,2,1,4,0,0,1,0,0,0,2,0,0,2,2.2,3,1,1,3
1,2,1,4,0,4,1,0,0,2,2,0,0,0,1.230769231,4,1,1,2
1,2,1,4,0,0,1,0,0,0,2,2,2,2,1.857142857,3,1,3,2
1,2,1,0,0,4,1,0,0,0,2,0,0,0,1.692307692,3,4,1,3
1,2,1,0,0,4,1,0,0,0,2,0,0,2,1.714285714,4,1,1,3
1,2,1,3.4,0,4,1,0,0,0,2,0,0,0,1.9,4,1,3,2
1,2,1,3.857142857,0,0,1,0,2,2,0,2,2,0,1.333333333,3,1,4,2
1,2,1,4,0,0,1,0,2,2,2,0,0,0,2.533333333,3,1,2,2
1,2,1,4,0,4,1,2,2,2,2,0,2,0,1.764705882,3,1,4,1
1,2,1,4,0,4,1,0,2,2,2,2,2,0,1.266666667,1,1,2,1
1,2,1,4,0,0,4,0,2,2,2,2,2,2,2.071428571,4,1,1,1
3,0,1,4,0,3.571428571,1,0,0,0,2,2,2,2,1.363636364,3,1,4,1
1,2,1,3.857142857,0,4,1,0,2,2,2,2,0,0,2.263157895,3,1,4,1
1,2,1,3.833333333,0,0,4,0,2,2,2,2,2,2,2.142857143,1,1,1,1
